"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","bin"
"dyad_effects[3]",-0.378809081054807,-0.371083,0.741585240316473,0.7377462078,-1.5998055,0.82526395,1.00044041017178,1564.43986542598,3256.87749049642,"4"
"dyad_effects[4]",-0.63017728578614,-0.6351025,0.473286871062443,0.4860696687,-1.388511,0.14298355,1.00061753919536,1098.42335654779,2326.50261715582,"4"
"dyad_effects[1]",-0.899921100659527,-0.9042445,0.720843945300413,0.7260766632,-2.0677455,0.28457695,1.00016782598681,1994.61836450424,3869.37140278896,"5"
"dyad_effects[2]",-1.1331172696056,-1.12695,0.53297945001242,0.5225927784,-2.0130565,-0.26278885,1.00129494658509,2186.80804848947,4193.01076061437,"5"
"dyad_effects[3]",-0.667636080543992,-0.673232,0.84268243945363,0.8389862901,-2.051169,0.7089752,0.999960362458825,3110.3471985957,5198.5143652524,"5"
"dyad_effects[4]",-1.38089384583133,-1.37846,0.553867781891353,0.554996484,-2.2896705,-0.466758550000001,1.00088997245339,2645.58199683873,4692.13723567601,"5"
"dyad_effects[1]",-0.276159527083867,-0.2701185,0.628794324656559,0.6321761922,-1.3098165,0.7595841,1.00021419405617,2120.04568647223,3875.20808884011,"6"
"dyad_effects[2]",0.332642519297933,0.3397375,0.476825680942941,0.4701724902,-0.45827925,1.1067765,0.999991424453084,2167.67650526776,4239.99407783443,"6"
"dyad_effects[3]",-0.0995997507304999,-0.100045,0.72214306618316,0.7344118404,-1.287555,1.0884635,1.00053180567376,2358.71838400009,4321.28220717861,"6"
"dyad_effects[4]",-1.298390007576,-1.297445,0.418966991227556,0.416573535,-1.9947095,-0.60808625,1.00008789935327,2006.49517570907,3705.80690508111,"6"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7"
"dyad_effects[1]",0.0879833719310133,0.0857321,0.594121688547598,0.58777365654,-0.8874859,1.0623385,1.00146933471388,1390.89616410803,2768.86433600818,"8"
"dyad_effects[2]",0.280025588656597,0.287797,0.531229569899811,0.52999421412,-0.60041375,1.1376765,1.00069776652813,1324.00996943764,2945.30144270012,"8"
"dyad_effects[3]",1.77615172566867,1.78779,0.618615003446058,0.614500635,0.74667015,2.77353,1.00002759553033,1220.34807013417,2307.74368328514,"8"
"dyad_effects[4]",-0.822715419211067,-0.8255925,0.37709969747804,0.3701614833,-1.4399635,-0.19731635,1.0001416543477,1118.882774794,2328.94498129989,"8"
"dyad_effects[1]",-0.100329147796633,-0.102566,0.684980313570425,0.6877914834,-1.2279315,1.025961,1.00007451399504,1642.47367934256,3388.15598906754,"9"
"dyad_effects[2]",0.367833123386193,0.374653,0.549716887531532,0.541938299175,-0.558006,1.2612575,1.00003193469564,1634.55260625828,3524.6067714665,"9"
"dyad_effects[3]",0.582349888777533,0.5840155,0.704391589884276,0.7096924506,-0.5827724,1.719529,1.00141749541382,1822.89598823131,3664.299702175,"9"
"dyad_effects[4]",-0.812028870728867,-0.814122,0.44772938314154,0.4342920876,-1.5589615,-0.0682675450000007,1.00013446375086,1487.1802299014,2688.29619065078,"9"
"dyad_effects[1]",-0.584170987338473,-0.584948,0.629618499156092,0.6260760345,-1.6294915,0.4294493,1.00005021434293,2138.81107757535,4080.6640809882,"10"
"dyad_effects[2]",0.355093511575947,0.3640295,0.556512328862651,0.55544786157,-0.58268535,1.254048,1.00029729006397,2224.55001923116,3646.24738440768,"10"
"dyad_effects[3]",-0.208046672269533,-0.204622,0.674623482617666,0.6774429354,-1.319525,0.90377285,1.00002749025925,2796.72190815315,5431.64064976839,"10"
"dyad_effects[4]",-0.166156814677713,-0.1657415,0.406942723914388,0.4012086099,-0.8339202,0.5057924,1.00088798233382,1575.21623080556,2919.29782296454,"10"
"dyad_effects[1]",-0.162139392776067,-0.155388,0.595049039425912,0.6040134639,-1.146112,0.8068238,1.00082439204202,1180.72523176939,2124.81516031398,"11"
"dyad_effects[2]",-0.101079122544767,-0.0907056,0.511834768107304,0.51213021846,-0.9615646,0.7285528,0.999997619117322,1535.14912847658,2955.81948312221,"11"
"dyad_effects[3]",0.9277137567883,0.92056,0.634715895673579,0.639956877,-0.1080646,1.9874995,1.00019835295818,1416.8793277381,3121.30745161928,"11"
"dyad_effects[4]",-0.36882944849376,-0.3677135,0.384745307404092,0.3786871746,-1.002269,0.26698145,1.00095488566582,1063.97821168178,2070.33211919068,"11"
"dyad_effects[1]",0.121869291618333,0.123721,0.634674377775699,0.6346395321,-0.9263522,1.161381,0.999991606969016,1159.48742952112,2454.4001258235,"12"
"dyad_effects[2]",0.0932158445609467,0.09028175,0.538468084068914,0.5262251484,-0.79688815,0.9819043,1.00033571236475,1398.06774682484,2683.66682197895,"12"
"dyad_effects[3]",1.00089005388801,0.998013,0.660632274326776,0.6597058503,-0.079661075,2.0963355,1.00011299672881,1072.88191610521,2523.64607989513,"12"
"dyad_effects[4]",0.0193088433448867,0.0138747,0.389142512325088,0.38021454912,-0.61784255,0.66588135,1.00028116780197,869.092716509359,1852.19267661129,"12"
"dyad_effects[1]",0.25863921337,0.2567895,0.672131245098305,0.6739580841,-0.848324,1.3710245,1.00122512362264,1097.05100891231,2343.51650985455,"13"
"dyad_effects[2]",-0.171726308113702,-0.166369,0.535292685398512,0.5392794414,-1.0492855,0.7090654,1.00022440353194,1334.17536353253,2939.76744721767,"13"
"dyad_effects[3]",0.448729553852894,0.4442615,0.698535010975171,0.7003794987,-0.6946637,1.589827,0.999975583845659,1509.21540639353,3102.05285184982,"13"
"dyad_effects[4]",-0.214023816072933,-0.2129455,0.426990193188261,0.43468327161,-0.9235092,0.481547249999999,1.00433855068738,954.331129791081,1973.3514547936,"13"
"dyad_effects[1]",-0.159063934311267,-0.1493315,0.650817342863417,0.6570668223,-1.242081,0.89967275,1.00007203362151,2011.64768324417,4096.44600497298,"14"
"dyad_effects[2]",0.21789685006264,0.224027,0.532838670860579,0.5295343116,-0.67585545,1.079891,1.00049820181291,2051.30145701301,3552.14664650629,"14"
"dyad_effects[3]",0.770546105841333,0.7777685,0.696464348921488,0.6943779339,-0.3897627,1.9052215,1.00008850282809,2014.10567974939,4274.91173704384,"14"
"dyad_effects[4]",-0.14300760041754,-0.145856,0.418267853302454,0.4117091244,-0.8384454,0.5416962,1.00065248223051,1514.61311465963,2686.55647933551,"14"
"dyad_effects[1]",0.163656020097107,0.157472,0.677914091041637,0.6776801514,-0.94552,1.275788,1.00046681047924,866.730146890881,1700.92116063779,"15"
"dyad_effects[2]",0.0553108706245334,0.0569964,0.52983921451603,0.5255980086,-0.8091882,0.92541125,1.00143402696651,691.005321928446,1476.31539470004,"15"
"dyad_effects[3]",0.319541391480933,0.317668,0.704545001958654,0.6964973106,-0.8389901,1.477111,1.00022700848622,917.815350976957,1996.80724687616,"15"
"dyad_effects[4]",-0.253503848467667,-0.2550825,0.438259008326634,0.42847221543,-0.9741564,0.4779089,1.00057956772828,558.953790032625,1143.23166150665,"15"
"dyad_effects[1]",-0.2462507642746,-0.246286,0.641032450186597,0.63114282,-1.304734,0.8091708,1.00119336408524,1011.87035537193,2052.34141192765,"16"
"dyad_effects[2]",0.211603107627487,0.220629,0.561974579379972,0.5577637569,-0.7169977,1.110851,0.999967492395964,1001.25218771517,1884.86809135858,"16"
"dyad_effects[3]",-0.0573928021720267,-0.04454035,0.677674095207044,0.67191706281,-1.180887,1.041215,1.00101250885987,1248.2111176169,2460.33575323128,"16"
"dyad_effects[4]",-0.32422151715982,-0.319585,0.411689398819265,0.40556485935,-0.99195765,0.34869295,1.00002440261707,801.014394190648,1491.83352053242,"16"
