obs # ,,video,camera,year,month,day,start time,time,focal bat,bat infected,behavior (letter),comment,
1 to x,scorer,file path on hard drive,"channel number (e.g. ""2"" for CH02)",year of video,month of video,day of video,AKA focal hour,00:30-60:00 (s),Bat ID (see bat key),T/F,see behavior key in project plan key,e.g don't know if self or social grooming,
89,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4430,blx,T,r,,
90,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4500,blx,T,m,,
91,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4530,blx,T,m,,
92,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4600,blx,T,m,,
93,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4630,blx,T,m,,
94,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4700,blx,T,r,,
95,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4730,blx,T,r,,
96,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4800,blx,T,m,,
97,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4830,blx,T,g,,
98,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4900,blx,T,g,,
99,Michael A,CH02_2019-07-14_19_41_25__19_49_47.mp4,2,2019,07,14,19,4930,blx,T,g,,
100,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5000,blx,T,g,,
101,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5030,blx,T,g,,
102,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5100,blx,T,g,,
103,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5130,blx,T,g,,
104,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5200,blx,T,g,,
105,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5230,blx,T,g,,
106,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5300,blx,T,g,,
107,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5330,blx,T,g,,
108,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5400,blx,T,g,,
109,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5430,blx,T,g,,
110,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5500,blx,T,g,,
111,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5530,blx,T,g,,
112,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5600,blx,T,g,,
113,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5630,blx,T,g,,
114,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5700,blx,T,g,,
115,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5730,blx,T,g,,
116,Michael A,CH02_2019-07-14_19_49_47__19_58_09.mp4,2,2019,07,14,19,5800,blx,T,g,,
117,Michael A,CH02_2019-07-14_19_58_09__20_06_31.mp4,2,2019,07,14,19,5830,blx,T,g,,
118,Michael A,CH02_2019-07-14_19_58_09__20_06_31.mp4,2,2019,07,14,19,5900,blx,T,m,,
119,Michael A,CH02_2019-07-14_19_58_09__20_06_31.mp4,2,2019,07,14,19,5930,blx,T,g,,
120,Michael A,CH02_2019-07-14_19_58_09__20_06_31.mp4,2,2019,07,14,19,6000,blx,T,g,,
1,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0030,blx,T,r,,Point
2,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0100,blx,T,g,,
3,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0130,blx,T,g,,
4,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0200,blx,T,sg,,
5,Michael A,CH02_2019-07-15_18_59_59__19_03_43.mp4,2,2019,07,15,19,0230,blx,T,g,,
